id;greenhous_temperature_celsius;greenhouse_humidity_percentage;greenhouse_illuminance_lux;online_temperature_celsius;online_humidity_percentage;greenhouse_total_volatile_organic_compounds_ppb;greenhouse_equivalent_co2_ppm;created
361496;13,22325653500027;68,05557590060764;0;7,300000190734863;89;370;1080,4444444444443;"2021-03-03 20:10:04"
361543;13,149614620208741;68,27115402221679;0;6,300000190734863;91;380,3;1068,1;"2021-03-03 20:20:03"
361595;13,094339275360108;68,40222930908203;0;6,300000190734863;91;371;1022,7;"2021-03-03 20:30:04"
361647;12,989395236968994;68,48355865478516;0;5,300000190734863;94;363;995,6;"2021-03-03 20:40:03"
361699;12,901927100287544;68,55691952175565;0;5,400000095367432;94;350;960,8888888888889;"2021-03-03 20:50:05"
361746;12,879110336303711;68,74601364135742;0;5,400000095367432;94;344,3;943,3;"2021-03-03 21:00:05"
361798;12,897268676757813;69,03288269042969;0;5,300000190734863;93;342;938,9;"2021-03-03 21:10:03"
361850;12,94880657196045;69,28938751220703;0;5;94;342,1;935;"2021-03-03 21:20:06"
361902;13,01200400458442;69,45652516682942;0;5;94;329,1111111111111;921,6666666666666;"2021-03-03 21:30:07"
361949;13,064698696136475;69,51277923583984;0;4,900000095367432;95;334;928,2;"2021-03-03 21:40:03"
362001;13,119707393646241;69,54558563232422;0;5,300000190734863;95;368,9;972,7;"2021-03-03 21:50:05"
362053;13,161097145080566;69,53780364990234;0;5;95;396,3;998,9;"2021-03-03 22:00:07"
362105;13,180827988518608;69,56774478488498;0;4,900000095367432;95;401;1004,3333333333334;"2021-03-03 22:10:03"
362152;13,188868618011474;69,5954818725586;0;4,699999809265137;97;405,9;1002,4;"2021-03-03 22:20:04"
362204;13,180590629577637;69,64461517333984;0;4,599999904632568;97;387,8;975,4;"2021-03-03 22:30:06"
362256;13,18940258026123;69,63072967529297;0;4,699999809265137;99;395,1;983,3;"2021-03-03 22:40:03"
362308;13,163619147406685;69,63403574625652;0;4,599999904632568;99;400,55555555555554;993;"2021-03-03 22:50:04"
362355;13,14881353378296;69,69145965576172;0;4,599999904632568;99;399,5;988,7;"2021-03-03 23:00:04"
362407;13,123178386688233;69,70397186279297;0;4,5;99;413,8;1014,8;"2021-03-03 23:10:04"
362459;13,088998508453368;69,70793914794922;0;4,599999904632568;99;423,5;1019,7;"2021-03-03 23:20:04"
362511;13,05888303120931;69,75322723388672;0;4,599999904632568;99;415,1111111111111;1009;"2021-03-03 23:30:04"
362558;13,03158655166626;69,8388671875;0;4,5;99;396,6;978,6;"2021-03-03 23:40:04"
